n,seed,optimal,n_evals,f,alg,imp_div_evals,imp_div_evals_new,imp_minus_evals,minus_evals
1000,10,1,378,1000,dyn_theory,0.047089947089947085,-0.08964384265136145,-375,-377
1000,11,1,559,1000,dyn_theory,0.05186590765338393,-0.15287200241008111,-556,-558
1000,1,1,466,1000,dyn_theory,0.04382284382284382,-0.066772258499506,-463,-465
1000,12,1,457,1000,dyn_theory,0.04631578947368421,-0.09024871501651688,-454,-456
1000,13,1,1003,1000,dyn_theory,0.05048076923076923,-0.24898351741086547,-1000,-1002
1000,14,1,740,1000,dyn_theory,0.05030303030303031,-0.10392324815885348,-737,-739
1000,15,1,971,1000,dyn_theory,0.0494047619047619,-0.20812267434142526,-968,-970
1000,16,1,212,1000,dyn_theory,0.047435190292333146,-0.013068119139547715,-209,-211
1000,17,1,739,1000,dyn_theory,0.045545545545545546,-0.10855353217469409,-736,-738
1000,18,1,418,1000,dyn_theory,0.04520884520884521,-0.10271783649392757,-415,-417
1000,19,1,390,1000,dyn_theory,0.04592363261093911,-0.06072287961326892,-387,-389
1000,20,1,115,1000,dyn_theory,0.0512987012987013,0.011363636363636364,-112,-114
1000,2,1,83,1000,dyn_theory,0.05024509803921569,0.025122549019607844,-80,-82
1000,3,1,763,1000,dyn_theory,0.04830362277170788,-0.17268799293515344,-760,-762
1000,4,1,806,1000,dyn_theory,0.047435190292333146,-0.2075400698361526,-803,-805
1000,5,1,936,1000,dyn_theory,0.04415954415954416,-0.15185924589741778,-933,-935
1000,6,1,1343,1000,dyn_theory,0.043258168430740915,-0.2589289240199659,-1340,-1342
1000,7,1,336,1000,dyn_theory,0.04786036036036036,-0.051395978123225626,-333,-335
1000,8,1,280,1000,dyn_theory,0.04663487016428193,-0.04224025996849375,-277,-279
1000,9,1,294,1000,dyn_theory,0.04563492063492063,-0.06698281790193555,-291,-293
1500,10,1,1118,1500,dyn_theory,0.06984478935698449,-0.3175278775665461,-1114,-1117
1500,11,1,775,1500,dyn_theory,0.06744482173174873,-0.10813512835859457,-771,-774
1500,1,1,428,1500,dyn_theory,0.06591591591591592,-0.013650581549656501,-424,-427
1500,12,1,330,1500,dyn_theory,0.06692268305171531,-0.011375890847711928,-326,-329
1500,13,1,722,1500,dyn_theory,0.06817119299587743,-0.05567145045280971,-718,-721
1500,14,1,1616,1500,dyn_theory,0.06658353639963448,-0.28642145693019205,-1612,-1615
1500,15,1,418,1500,dyn_theory,0.06615585685353127,-0.033697385734059865,-414,-417
1500,16,1,592,1500,dyn_theory,0.06723199352288828,-0.04000894392789083,-588,-591
1500,17,1,1882,1500,dyn_theory,0.06537929975429976,-0.4213837413306128,-1878,-1881
1500,18,1,303,1500,dyn_theory,0.06612674055129297,-0.020360857523581303,-299,-302
1500,19,1,724,1500,dyn_theory,0.06142167011732229,-0.08225056321624298,-720,-723
1500,20,1,856,1500,dyn_theory,0.06507554945054944,-0.11599251823304921,-852,-855
1500,2,1,2205,1500,dyn_theory,0.06607297583517859,-0.5986948664711822,-2201,-2204
1500,3,1,475,1500,dyn_theory,0.06615585685353127,-0.045401526242762696,-471,-474
1500,4,1,704,1500,dyn_theory,0.06814064558629776,-0.08131911782432288,-700,-703
1500,5,1,1119,1500,dyn_theory,0.0649058149058149,-0.20277715124925672,-1115,-1118
1500,6,1,776,1500,dyn_theory,0.06707865777633219,-0.10510654130701952,-772,-775
1500,7,1,523,1500,dyn_theory,0.06652075596954546,-0.03492181897089558,-519,-522
1500,8,1,962,1500,dyn_theory,0.06721230158730158,-0.08840920643957532,-958,-961
1500,9,1,684,1500,dyn_theory,0.06391767261332479,-0.06454348801666021,-680,-683
2000,10,1,538,2000,dyn_theory,0.08201298701298702,-0.08216829059506403,-533,-537
2000,11,1,436,2000,dyn_theory,0.08502747252747253,0.007158355841473521,-431,-435
2000,1,1,610,2000,dyn_theory,0.08730974124809741,-0.05965586325843519,-605,-609
2000,12,1,1589,2000,dyn_theory,0.08802168194425443,-0.1602494938695928,-1584,-1588
2000,13,1,607,2000,dyn_theory,0.08801541248349759,0.00014889557188370577,-602,-606
2000,14,1,2013,2000,dyn_theory,0.08795274557872543,-0.44586274329394765,-2008,-2012
2000,15,1,1155,2000,dyn_theory,0.08726449327953087,-0.19705781861984567,-1150,-1154
2000,16,1,436,2000,dyn_theory,0.08560346060346061,0.006175011609794219,-431,-435
2000,17,1,1316,2000,dyn_theory,0.07837861856849197,-0.2072465223321743,-1311,-1315
2000,18,1,1979,2000,dyn_theory,0.08846674681148006,-0.30082318899223043,-1974,-1978
2000,19,1,2312,2000,dyn_theory,0.09024256537657371,-0.571107562059877,-2307,-2311
2000,20,1,1490,2000,dyn_theory,0.0875731323639445,-0.23695875915807976,-1485,-1489
2000,2,1,1208,2000,dyn_theory,0.08452847805788982,-0.15847459608849945,-1203,-1207
2000,3,1,1071,2000,dyn_theory,0.08710848188256258,-0.1738760721555655,-1066,-1070
2000,4,1,1631,2000,dyn_theory,0.09128310973512212,-0.333721223063908,-1626,-1630
2000,5,1,765,2000,dyn_theory,0.08381467997010086,-0.0526686463687405,-760,-764
2000,6,1,947,2000,dyn_theory,0.08632189882189882,-0.15735082177334225,-942,-946
2000,7,1,953,2000,dyn_theory,0.0854653916648933,-0.20418589103725734,-948,-952
2000,8,1,540,2000,dyn_theory,0.0880287324968176,-0.05226603886828256,-535,-539
2000,9,1,888,2000,dyn_theory,0.0890961262553802,-0.0671521693934342,-883,-887
500,10,1,74,500,dyn_theory,0.02702702702702703,-0.00037537537537537385,-72,-73
500,11,1,148,500,dyn_theory,0.02631578947368421,-0.028333701901813363,-146,-147
500,1,1,211,500,dyn_theory,0.02857142857142857,-0.057259799906858734,-209,-210
500,12,1,72,500,dyn_theory,0.02631578947368421,-0.0019936204146730474,-70,-71
500,13,1,233,500,dyn_theory,0.034482758620689655,-0.07156713652022983,-231,-232
500,14,1,162,500,dyn_theory,0.03333333333333333,-0.045007020007020004,-160,-161
500,15,1,528,500,dyn_theory,0.02702702702702703,-0.18851828461929085,-526,-527
500,16,1,175,500,dyn_theory,0.030303030303030304,-0.04175266597867217,-173,-174
500,17,1,35,500,dyn_theory,0.029411764705882353,0.014705882352941176,-33,-34
500,18,1,118,500,dyn_theory,0.02857142857142857,-0.01011904761904762,-116,-117
500,19,1,78,500,dyn_theory,0.02631578947368421,0.00033738191632928446,-76,-77
500,20,1,221,500,dyn_theory,0.03125,-0.05112766597867216,-219,-220
500,2,1,108,500,dyn_theory,0.02702702702702703,-0.015057915057915056,-106,-107
500,3,1,298,500,dyn_theory,0.027777777777777776,-0.08012853078642551,-296,-297
500,4,1,140,500,dyn_theory,0.02857142857142857,-0.029085196732255562,-138,-139
500,5,1,102,500,dyn_theory,0.03225806451612903,-0.012442396313364055,-100,-101
500,6,1,79,500,dyn_theory,0.024390243902439025,-0.0013183915622940016,-77,-78
500,7,1,184,500,dyn_theory,0.02564102564102564,-0.04325212846010809,-182,-183
500,8,1,657,500,dyn_theory,0.030303030303030304,-0.2183551337619476,-655,-656
500,9,1,78,500,dyn_theory,0.02631578947368421,0.00033738191632928446,-76,-77
